"team","player","position","status","details"
"ARI","Kyler Murray","QB","Questionable","QUESTIONABLE"
"ARI","Tip Reiman","TE","Out","OUT"
"ARI","Evan Brown","C","Out","QUESTIONABLE"
"ARI","Darius Robinson","DE","Out","QUESTIONABLE"
"ARI","Cody Simon","LB","Questionable","QUESTIONABLE"
"ARI","Max Melton","CB","Out","QUESTIONABLE"
"ATL","Emory Jones","QB","Injured Reserve - RES","IR"
"ATL","Nathan Carter","RB","Out","QUESTIONABLE"
"ATL","KhaDarel Hodge","WR","Out","QUESTIONABLE"
"ATL","Darnell Mooney","WR","Questionable","QUESTIONABLE"
"ATL","Feleipe Franks","TE","Questionable","QUESTIONABLE"
"ATL","A.J. Terrell Jr.","CB","Questionable","QUESTIONABLE"
"ATL","Natrone Brooks","CB","Questionable","QUESTIONABLE"
"ATL","Tyrone Wheatley Jr.","OT","Injured Reserve","IR"
"BAL","Lamar Jackson","QB","Out","QUESTIONABLE"
"BAL","Roquan Smith","LB","Out","QUESTIONABLE"
"BAL","Marlon Humphrey","CB","Out","QUESTIONABLE"
"BAL","Chidobe Awuzie","CB","Out","QUESTIONABLE"
"BAL","Kyle Hamilton","S","Out","QUESTIONABLE"
"BAL","Ronnie Stanley","OT","Out","QUESTIONABLE"
"BAL","Patrick Ricard","FB","Out","QUESTIONABLE"
"BAL","Emery Jones Jr.","OT","Out","NFI-R"
"BUF","T.J. Sanders","DT","Out","QUESTIONABLE"
"BUF","Ed Oliver","DT","Out","QUESTIONABLE"
"BUF","Dorian Williams","LB","Out","QUESTIONABLE"
"BUF","Matt Milano","LB","Questionable","QUESTIONABLE"
"BUF","Dorian Strong","CB","Injured Reserve","IR"
"BUF","Cameron Johnston","P","Injured Reserve","IR"
"CAR","Chuba Hubbard","RB","Out","QUESTIONABLE"
"CAR","Jalen Coker","WR","Injured Reserve","IR"
"CAR","Dalevon Campbell","WR","Injured Reserve","IR"
"CAR","David Moore","WR","Injured Reserve","IR"
"CAR","Ja'Tavion Sanders","TE","Out","QUESTIONABLE"
"CAR","Chandler Zavala","G","Injured Reserve","IR"
"CAR","Tershawn Wharton","DT","Out","QUESTIONABLE"
"CAR","Chau Smith-Wade","CB","Out","QUESTIONABLE"
"CHI","Colston Loveland","TE","Out","QUESTIONABLE"
"CHI","Grady Jarrett","DE","Questionable","QUESTIONABLE"
"CHI","T.J. Edwards","LB","Questionable","QUESTIONABLE"
"CHI","Jaylon Johnson","CB","Injured Reserve","IR"
"CHI","Kyler Gordon","CB","Questionable","QUESTIONABLE"
"CHI","Darnell Wright","OT","Questionable","QUESTIONABLE"
"CIN","Joe Burrow","QB","Injured Reserve - RES","IR"
"CIN","Shemar Stewart","DE","Out","QUESTIONABLE"
"CLE","Deshaun Watson","QB","Injured Reserve - RES","IR"
"CLE","Mike Hall Jr.","DT","Out","QUESTIONABLE"
"DAL","Miles Sanders","RB","Out","QUESTIONABLE"
"DAL","Jonathan Mingo","WR","Injured Reserve","IR-R"
"DAL","KaVontae Turpin","WR","Out","QUESTIONABLE"
"DAL","CeeDee Lamb","WR","Out","QUESTIONABLE"
"DAL","Tyler Booker","G","Out","OUT"
"DAL","Marshawn Kneeland","DE","Out","QUESTIONABLE"
"DAL","Jack Sanborn","LB","Questionable","QUESTIONABLE"
"DAL","Caelen Carson","CB","Injured Reserve","IR-R"
"DAL","Tyler Guyton","OT","Out","QUESTIONABLE"
"DEN","Lucas Krull","TE","Injured Reserve","IR"
"DEN","Ben Powers","G","Doubtful","DOUBTFUL"
"DET","Sione Vaki","RB","Out","QUESTIONABLE"
"DET","Kalif Raymond","WR","Questionable","QUESTIONABLE"
"DET","Alim McNeill","DT","Out","PUP-R"
"DET","Zach Cunningham","LB","Out","QUESTIONABLE"
"DET","D.J. Reed","CB","Injured Reserve","IR"
"DET","Khalil Dorsey","CB","Out","QUESTIONABLE"
"DET","Terrion Arnold","CB","Out","OUT"
"DET","Taylor Decker","OT","Out","QUESTIONABLE"
"GB","Christian Watson","WR","Out","PUP-R"
"GB","Aaron Banks","G","Questionable","QUESTIONABLE"
"GB","Jacob Monk","C","Injured Reserve","IR-R"
"GB","Devonte Wyatt","DT","Questionable","QUESTIONABLE"
"GB","Nate Hobbs","CB","Questionable","QUESTIONABLE"
"GB","Zach Tom","OT","Questionable","QUESTIONABLE"
"GB","Anthony Belton","OT","Questionable","QUESTIONABLE"
"HOU","Denico Autry","DE","Out","PUP-R"
"HOU","Folorunso Fatukasi","DT","Injured Reserve","IR"
"HOU","Jaylen Reed","S","Injured Reserve","IR-R"
"IND","Tyler Goodson","RB","Out","QUESTIONABLE"
"IND","Alec Pierce","WR","Out","QUESTIONABLE"
"IND","Grover Stewart","DT","Questionable","QUESTIONABLE"
"IND","Kenny Moore II","CB","Out","QUESTIONABLE"
"IND","Mike Hilton","CB","Questionable","QUESTIONABLE"
"IND","Spencer Shrader","PK","Out","OUT"
"JAX","Brenton Strange","TE","Questionable","QUESTIONABLE"
"JAX","Wyatt Milum","G","Out","INACTIVE"
"JAX","Robert Hainsey","C","Questionable","QUESTIONABLE"
"JAX","Travon Walker","DE","Out","INACTIVE"
"JAX","Danny Striggow","DE","Out","INACTIVE"
"JAX","Khalen Saunders","DT","Out","INACTIVE"
"JAX","Yasir Abdullah","LB","Out","INACTIVE"
"KC","Elijah Mitchell","RB","Out","INACTIVE"
"KC","Jared Wiley","TE","Out","INACTIVE"
"KC","Hunter Nourzad","C","Out","INACTIVE"
"KC","Malik Herring","DE","Out","INACTIVE"
"KC","Omarr Norman-Lott","DT","Out","INACTIVE"
"KC","Kristian Fulton","CB","Out","INACTIVE"
"LA","Tyler Higbee","TE","Out","QUESTIONABLE"
"LA","Colby Parkinson","TE","Questionable","QUESTIONABLE"
"LA","Omar Speights","LB","Doubtful","DOUBTFUL"
"LA","Rob Havenstein","OT","Out","QUESTIONABLE"
"LAC","Omarion Hampton","RB","Out","OUT"
"LAC","Derius Davis","WR","Out","QUESTIONABLE"
"LAC","Will Dissly","TE","Out","QUESTIONABLE"
"LAC","Mekhi Becton","G","Questionable","QUESTIONABLE"
"LAC","Da'Shawn Hand","DT","Questionable","QUESTIONABLE"
"LAC","Joe Alt","OT","Out","QUESTIONABLE"
"LV","Aidan O'Connell","QB","Injured Reserve - RES","IR"
"LV","Brock Bowers","TE","Out","QUESTIONABLE"
"LV","Michael Mayer","TE","Out","QUESTIONABLE"
"LV","Brennan Jackson","LB","Injured Reserve","IR"
"LV","Eric Stokes","CB","Out","QUESTIONABLE"
"LV","Kolton Miller","OT","Injured Reserve","IR"
"LV","AJ Cole","P","Questionable","QUESTIONABLE"
"MIA","Tyreek Hill","WR","Injured Reserve","IR"
"MIA","Cedrick Wilson Jr.","WR","Out","QUESTIONABLE"
"MIA","Austin Jackson","G","Injured Reserve","IR"
"MIA","James Daniels","G","Injured Reserve","IR"
"MIA","Tyrel Dodson","LB","Questionable","QUESTIONABLE"
"MIA","Storm Duck","CB","Out","QUESTIONABLE"
"MIA","Cornell Armstrong","CB","Questionable","QUESTIONABLE"
"MIA","Liam Eichenberg","OT","Out","PUP-R"
"MIN","J.J. McCarthy","QB","Out","QUESTIONABLE"
"MIN","Carson Wentz","QB","Questionable","QUESTIONABLE"
"MIN","Ben Yurosek","TE","Out","QUESTIONABLE"
"MIN","Michael Jurgens","G","Out","QUESTIONABLE"
"MIN","Donovan Jackson","G","Out","QUESTIONABLE"
"MIN","Ryan Kelly","C","Injured Reserve","IR"
"MIN","Tyler Batty","LB","Injured Reserve","IR-R"
"MIN","Andrew Van Ginkel","LB","Out","QUESTIONABLE"
"MIN","Brian O'Neill","OT","Out","QUESTIONABLE"
"NE","Antonio Gibson","RB","Out","OUT"
"NE","Keion White","DE","Questionable","QUESTIONABLE"
"NE","K'Lavon Chaisson","LB","Out","QUESTIONABLE"
"NO","Cesar Ruiz","C","Out","QUESTIONABLE"
"NO","Chase Young","DE","Out","QUESTIONABLE"
"NO","John Ridgeway III","DT","Injured Reserve","IR-R"
"NO","Isaac Yiadom","CB","Out","QUESTIONABLE"
"NO","Justin Reid","S","Questionable","QUESTIONABLE"
"NYG","Jaxson Dart","QB","Questionable","QUESTIONABLE"
"NYG","Tyrone Tracy Jr.","RB","Out","QUESTIONABLE"
"NYG","Darius Slayton","WR","Questionable","QUESTIONABLE"
"NYG","Demetrius Flannigan-Fowles","LB","Out","QUESTIONABLE"
"NYG","Swayze Bozeman","LB","Questionable","QUESTIONABLE"
"NYG","Dru Phillips","CB","Questionable","QUESTIONABLE"
"NYG","Anthony Johnson Jr.","S","Out","PUP-R"
"NYG","Tyler Nubin","S","Questionable","QUESTIONABLE"
"NYG","Jevon Holland","S","Questionable","QUESTIONABLE"
"NYG","Dane Belton","S","Questionable","QUESTIONABLE"
"NYG","Jermaine Eluemunor","OT","Questionable","QUESTIONABLE"
"NYJ","Braelon Allen","RB","Injured Reserve","IR"
"NYJ","Kene Nwangwu","RB","Out","QUESTIONABLE"
"NYJ","Allen Lazard","WR","Questionable","QUESTIONABLE"
"NYJ","Jermaine Johnson","LB","Out","QUESTIONABLE"
"NYJ","Kiko Mauigoa","LB","Questionable","QUESTIONABLE"
"NYJ","Michael Carter II","CB","Out","QUESTIONABLE"
"PHI","Saquon Barkley","RB","Questionable","QUESTIONABLE"
"PHI","Grant Calcaterra","TE","Questionable","QUESTIONABLE"
