"team","player","position","status","details"
"ARI","Trey Benson","RB","Injured Reserve","IR"
"ARI","Greg Dortch","WR","Questionable","QUESTIONABLE"
"ARI","Will Hernandez","G","Questionable","QUESTIONABLE"
"ARI","Evan Brown","C","Doubtful","DOUBTFUL"
"ARI","Darius Robinson","DE","Out","OUT"
"ARI","Bilal Nichols","DT","Out","PUP-R"
"ARI","Max Melton","CB","Questionable","QUESTIONABLE"
"ARI","Denzel Burke","CB","Questionable","QUESTIONABLE"
"ARI","Will Johnson","CB","Questionable","QUESTIONABLE"
"ATL","Emory Jones","QB","Injured Reserve - RES","IR"
"ATL","Nathan Carter","RB","Out","QUESTIONABLE"
"ATL","KhaDarel Hodge","WR","Out","QUESTIONABLE"
"ATL","Darnell Mooney","WR","Questionable","QUESTIONABLE"
"ATL","Feleipe Franks","TE","Questionable","QUESTIONABLE"
"ATL","A.J. Terrell Jr.","CB","Questionable","QUESTIONABLE"
"ATL","Natrone Brooks","CB","Questionable","QUESTIONABLE"
"ATL","Tyrone Wheatley Jr.","OT","Injured Reserve","IR"
"BAL","Lamar Jackson","QB","Out","OUT"
"BAL","Devontez Walker","WR","Questionable","QUESTIONABLE"
"BAL","Nnamdi Madubuike","DT","Injured Reserve","IR"
"BAL","Roquan Smith","LB","Out","OUT"
"BAL","Odafe Oweh","LB","Questionable","QUESTIONABLE"
"BAL","Marlon Humphrey","CB","Out","OUT"
"BAL","Chidobe Awuzie","CB","Out","OUT"
"BAL","Kyle Hamilton","S","Questionable","QUESTIONABLE"
"BAL","Emery Jones Jr.","OT","Out","NFI-R"
"BAL","Patrick Ricard","FB","Out","OUT"
"BUF","Ed Oliver","DT","Questionable","QUESTIONABLE"
"BUF","T.J. Sanders","DT","Questionable","QUESTIONABLE"
"BUF","Dorian Williams","LB","Out","OUT"
"BUF","Matt Milano","LB","Questionable","QUESTIONABLE"
"BUF","Dorian Strong","CB","Out","OUT"
"BUF","Cameron Johnston","P","Injured Reserve","IR"
"BUF","Spencer Brown","OT","Questionable","QUESTIONABLE"
"CAR","Chuba Hubbard","RB","Out","OUT"
"CAR","Jalen Coker","WR","Injured Reserve","IR"
"CAR","Dalevon Campbell","WR","Injured Reserve","IR"
"CAR","David Moore","WR","Injured Reserve","IR"
"CAR","Ja'Tavion Sanders","TE","Out","OUT"
"CAR","Chandler Zavala","G","Injured Reserve","IR"
"CAR","LaBryan Ray","DE","Injured Reserve","IR-R"
"CAR","Tershawn Wharton","DT","Out","OUT"
"CAR","Cam Jackson","DT","Questionable","QUESTIONABLE"
"CAR","D.J. Wonnum","LB","Questionable","QUESTIONABLE"
"CAR","Chau Smith-Wade","CB","Out","OUT"
"CHI","Colston Loveland","TE","Out","QUESTIONABLE"
"CHI","Grady Jarrett","DE","Questionable","QUESTIONABLE"
"CHI","T.J. Edwards","LB","Questionable","QUESTIONABLE"
"CHI","Jaylon Johnson","CB","Injured Reserve","IR"
"CHI","Kyler Gordon","CB","Questionable","QUESTIONABLE"
"CHI","Darnell Wright","OT","Questionable","QUESTIONABLE"
"CIN","Joe Burrow","QB","Injured Reserve - RES","IR"
"CIN","Charlie Jones","WR","Questionable","QUESTIONABLE"
"CIN","Shemar Stewart","DE","Out","OUT"
"CLE","Deshaun Watson","QB","Out","PUP-R"
"CLE","Cedric Tillman","WR","Injured Reserve","IR"
"CLE","DeAndre Carter","WR","Injured Reserve","IR"
